,date,symbol,open,close,low,high,volume
386,2010-01-04,DVA,29.5599995,29.959999,29.545,30.0249995,1910400.0
854,2010-01-05,DVA,30.045,29.705,29.615,30.1450005,1541000.0
1322,2010-01-06,DVA,29.745001,29.5300005,29.4050005,29.76,1299600.0
1790,2010-01-07,DVA,29.41,29.785,29.254999,29.799999,1526400.0
2258,2010-01-08,DVA,29.8950005,30.5,29.795,30.6049995,2442600.0
2726,2010-01-11,DVA,30.5,30.8950005,30.2800005,31.049999,2373800.0
3194,2010-01-12,DVA,30.8150005,30.629999,30.4050005,31.08,1531000.0
3662,2010-01-13,DVA,30.6499995,31.084999,30.620001,31.1550005,782000.0
4130,2010-01-14,DVA,30.9850005,31.075001,30.915001,31.24,840200.0
4598,2010-01-15,DVA,30.955,30.83,30.665001,31.01,924200.0
5066,2010-01-19,DVA,30.84,31.3500005,30.7800005,31.370001,1059600.0
5534,2010-01-20,DVA,31.3500005,31.2250005,31.0,31.705,1433200.0
6002,2010-01-21,DVA,31.1550005,31.0949995,30.6849995,31.3050005,1931800.0
6470,2010-01-22,DVA,30.9050005,30.365,30.2749995,31.26,2142200.0
6938,2010-01-25,DVA,30.465,30.299999,30.1100005,30.66,1510200.0
7406,2010-01-26,DVA,30.25,30.299999,30.2250005,30.4349995,1218600.0
7874,2010-01-27,DVA,30.2199995,30.334999,30.0949995,30.455,1336000.0
8342,2010-01-28,DVA,30.4850005,30.049999,29.885,30.6049995,1828600.0
8810,2010-01-29,DVA,30.040001,29.879999,29.8199995,30.200001,1333600.0
9278,2010-02-01,DVA,30.040001,30.215,29.6849995,30.26,1267600.0
9746,2010-02-02,DVA,30.2649995,30.75,30.004999,30.865,1550000.0
10214,2010-02-03,DVA,30.504999,30.5200005,30.3150005,30.629999,1305400.0
10682,2010-02-04,DVA,30.1100005,29.879999,29.8199995,30.375,1679800.0
11150,2010-02-05,DVA,29.8150005,30.215,29.74,30.2800005,2247200.0
11618,2010-02-08,DVA,30.165001,30.0300005,29.9799995,30.285,1416800.0
12086,2010-02-09,DVA,30.2350005,30.6000005,30.1800005,30.75,2043400.0
12554,2010-02-10,DVA,30.51,30.41,30.115,30.6800005,1496200.0
13022,2010-02-11,DVA,30.1450005,29.995001,29.3950005,30.5650005,3061600.0
13490,2010-02-12,DVA,29.875,29.49,29.2800005,30.0,2302200.0
13958,2010-02-16,DVA,29.6450005,29.75,29.365,29.885,1623000.0
14426,2010-02-17,DVA,29.9349995,30.174999,29.8500005,30.459999,2615800.0
14894,2010-02-18,DVA,30.1900005,30.5949995,30.115,30.6100005,1570800.0
15362,2010-02-19,DVA,30.4750005,30.8050005,30.3500005,30.9400005,1661000.0
15830,2010-02-22,DVA,30.785,30.799999,30.5599995,30.99,679400.0
16298,2010-02-23,DVA,30.6900005,30.5599995,30.495001,30.795,1559200.0
16766,2010-02-24,DVA,30.674999,30.834999,30.4750005,30.875,2432200.0
17234,2010-02-25,DVA,30.615,30.745001,30.365,30.834999,1985000.0
17702,2010-02-26,DVA,30.83,30.8050005,30.665001,31.0200005,1257000.0
18170,2010-03-01,DVA,30.924999,31.549999,30.91,32.2350005,3258200.0
18638,2010-03-02,DVA,31.4750005,31.7700005,31.3500005,31.9050005,1914200.0
19106,2010-03-03,DVA,31.035,31.51,30.83,31.75,1741200.0
19574,2010-03-04,DVA,31.615,31.76,31.4750005,31.7800005,1528200.0
20042,2010-03-05,DVA,31.7749995,32.075001,31.615,32.080002,1567400.0
20510,2010-03-08,DVA,32.075001,31.2800005,31.2649995,32.2750015,3432200.0
20978,2010-03-09,DVA,31.205,31.245001,31.045,31.4750005,2356400.0
21446,2010-03-10,DVA,31.200001,30.450001,30.379999,31.325001,4661800.0
21914,2010-03-11,DVA,30.465,31.370001,30.465,31.3899995,2435400.0
22382,2010-03-12,DVA,31.379999,31.1849995,31.1000005,31.379999,1238200.0
22850,2010-03-15,DVA,31.1800005,31.290001,30.965,31.3199995,1130200.0
23318,2010-03-16,DVA,31.2800005,31.334999,31.01,31.379999,876000.0
23786,2010-03-17,DVA,31.334999,31.6949995,31.200001,31.7299995,1968200.0
24254,2010-03-18,DVA,31.75,31.84,31.5200005,31.879999,1151800.0
